l/nm,Standard illuminant A,Standard illuminant D65,Illuminant C,Illuminant D50,Illuminant D 55,Illuminant D 75,ID65,ID50,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL3.1,FL3.2,FL3.3,FL3.4,FL3.5,FL3.6,FL3.7,FL3.8,FL3.9,FL3.10,FL3.11,FL3.12,FL3.13,FL3.14,FL3.15,HP1,HP2,HP3,HP4,HP5,LED-B1,LED-B2,LED-B3,LED-B4,LED-B5,LED-BH1,LED-RGB1,LED-V1,LED-V2
400,"28,0623","151,4564","118,47","88,897","110,467","187,875","148,56","87,20","8,64","5,59","4,01","2,99","8,55","5,01","10,68","5,30","4,19","2,05","1,66","1,52","9,20","21,48","36,11","9,37","18,35","20,73","2,93","4,42","4,42","0,69","6,22","6,78","10,01","12,99","548,00","5,80","8,01","25,54","50,50","29,92","0,06","0,03","0,07","0,04","0,10","0,12","0,03","3,23","5,62"
410,"33,8233","178,6064","152,41","109,423","133,305","218,805","176,17","107,93","25,62","19,54","17,06","15,70","24,91","18,23","26,74","16,91","15,85","14,28","14,27","13,60","97,95","115,33","148,40","79,94","74,64","79,27","81,01","80,89","83,73","23,42","89,23","83,48","88,65","85,90","806,00","8,10","11,44","47,58","102,10","67,22","0,22","0,16","0,36","0,29","0,51","0,58","0,16","24,94","31,87"
420,"40,2857","185,8907","187,63","118,307","141,642","225,144","182,71","116,28","13,25","7,93","5,18","3,35","12,96","6,98","14,76","7,31","5,42","6,44","4,25","2,02","14,93","34,82","63,11","10,97","32,40","37,59","10,02","23,00","33,17","4,96","42,21","9,49","15,98","23,55","307,00","9,00","16,22","73,24","149,34","114,12","0,81","0,74","1,76","1,85","2,45","2,77","0,74","29,16","34,63"
430,"47,4592","176,7393","218,20","116,744","137,660","211,037","173,48","114,59","16,35","9,68","6,28","4,03","15,89","8,52","17,56","9,51","7,12","11,89","7,82","3,15","18,03","42,33","77,27","12,33","42,09","49,42","15,26","40,77","62,72","12,03","78,97","9,66","18,99","29,72","465,00","11,08","22,75","52,76","98,91","97,59","2,46","2,67","6,61","7,79","9,24","7,34","2,54","9,25","14,73"
440,"55,3452","200,6386","239,25","141,146","162,365","233,343","196,92","138,53","60,61","46,79","41,32","38,31","56,82","43,35","61,66","46,52","43,39","49,25","46,07","36,95","207,48","257,71","309,53","200,54","204,67","219,95","193,52","223,19","260,84","61,86","289,61","156,37","218,20","222,71","2024,00","15,28","32,86","61,57","133,14","92,16","6,68","7,53","19,28","21,68","26,07","12,75","5,81","4,32","9,51"
450,"63,9367","227,944","247,45","168,283","189,792","260,114","224,63","165,85","22,07","12,90","8,27","5,25","21,23","11,26","23,35","16,28","12,41","21,16","14,14","5,36","23,27","56,73","102,25","17,59","67,30","80,10","24,14","67,22","104,33","25,59","131,66","16,23","38,61","59,18","729,00","18,58","37,84","47,20","66,39","79,56","14,28","18,43","36,57","46,52","57,49","15,65","10,43","4,97","12,75"
460,"73,2189","235,222","246,70","179,542","199,691","265,037","233,38","178,14","24,26","14,12","9,03","5,73","23,23","12,28","25,66","19,70","15,11","20,78","13,84","5,14","25,18","62,53","111,62","21,36","80,71","96,68","23,06","63,49","97,66","27,35","124,18","26,72","62,88","90,03","899,00","10,99","35,20","55,51","74,58","96,30","13,82","18,18","24,48","41,59","54,64","11,75","9,56","6,79","17,15"
470,"83,1695","231,197","247,10","182,358","200,101","257,160","230,51","181,82","25,75","14,94","9,52","6,03","24,57","12,93","27,16","22,17","17,10","17,56","11,59","4,43","26,54","66,94","117,96","25,66","92,41","110,89","21,05","53,09","79,58","25,41","101,66","41,02","90,58","122,65","1033,00","33,77","53,31","53,44","69,05","98,23","9,53","11,48","13,55","20,52","28,47","6,79","5,94","9,01","20,34"
480,"93,7597","231,315","247,99","188,347","204,065","253,861","231,27","188,31","26,38","15,27","9,73","6,17","25,12","13,17","27,83","23,69","18,37","15,20","10,45","4,92","27,15","69,72","120,36","30,28","100,79","120,84","21,02","45,00","63,78","23,08","81,14","58,42","113,82","150,24","1119,00","8,09","26,39","45,87","61,99","91,85","7,54","8,36","10,28","11,23","16,29","4,33","5,71","11,97","23,08"
490,"104,9550","221,178","243,62","185,499","198,487","240,074","221,67","185,92","26,30","15,24","9,73","6,23","24,99","13,12","27,75","24,45","19,09","33,37","29,25","22,71","27,63","71,03","119,76","36,69","106,35","127,02","107,98","139,84","157,19","48,21","172,09","86,76","137,92","180,52","1147,00","4,70","24,54","43,56","56,12","83,85","8,14","8,76","12,59","8,44","12,97","4,11","9,51","15,35","25,48"
